Station ID,Station Name,Lat,Lon,Number of Trips
3919.07,Eastern Pkwy & Franklin Ave,40.6707767,-73.9576801,1740
3919.07,Eastern Pkwy & Franklin Ave,40.670777,-73.95768,5
3922.02,10 St & 2 Ave,40.671907,-73.993612,396
3928.08,Eastern Pkwy & Washington Ave,40.671649,-73.963115,10
3928.08,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,1101
3931.09,Bay St & Court St,40.671409,-74.001328,168
3940.04,Sigourney St & Columbia St,40.672672,-74.008795,11
3940.04,Sigourney St & Columbia St,40.67267243410948,-74.0087952464819,354
3946.07,1 St & 6 Ave,40.672784,-73.979826,742
3955.05,4 Ave & 9 St,40.6705135,-73.98876585,1224
3955.05,4 Ave & 9 St,40.670514,-73.988766,4
3960.01,Lincoln Pl & Classon Ave,40.672168,-73.9609,9
3960.01,Lincoln Pl & Classon Ave,40.6721683,-73.9609,610
3972.08,Henry St & Bay St,40.6725058,-74.00494695,137
3978.13,Garfield Pl & 8 Ave,40.6711978,-73.97484126,1329
3978.13,Garfield Pl & 8 Ave,40.671198,-73.974841,2
3981.10,Dwight St & Van Dyke St,40.67363551341504,-74.01195555925369,197
3981.10,Dwight St & Van Dyke St,40.673636,-74.011956,6
3987.06,5 Ave & 3 St,40.6728155,-73.98352355,1393
3993.03,Sterling Pl & Bedford Ave,40.672695,-73.954131,1023
3996.01,7 St & 3 Ave,40.67260298150126,-73.98983001708984,692
3996.01,7 St & 3 Ave,40.672603,-73.98983,2
4001.09,St Johns Pl & Washington Ave,40.6737236,-73.9631611,1408
4001.09,St Johns Pl & Washington Ave,40.673724,-73.963161,3
4010.01,Plaza St East & Flatbush Ave,40.673134,-73.969106,1806
4010.13,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,1494
4010.13,Plaza St West & Flatbush Ave,40.675021,-73.971115,4
4010.15,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,1375
4010.15,Grand Army Plaza & Plaza St West,40.672968,-73.97088,11
4013.08,Columbia St & Lorraine St,40.6747055,-74.0075572,163
4013.08,Columbia St & Lorraine St,40.674706,-74.007557,2
4019.06,Carroll St & 6 Ave,40.6740886,-73.9787282,1130
4019.06,Carroll St & 6 Ave,40.674089,-73.978728,5
4028.03,3 St & 3 Ave,40.6750705,-73.98775226,874
4028.03,3 St & 3 Ave,40.675071,-73.987752,3
4028.04,4 Ave & 3 St,40.673746,-73.985649,923
4033.06,Park Pl & Franklin Ave,40.6741806,-73.9564947,790
4033.06,Park Pl & Franklin Ave,40.674181,-73.956495,3
4042.08,Underhill Ave & Lincoln Pl,40.674012,-73.967146,5
4042.08,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,991
4045.01,Clinton St & Centre St,40.67434,-74.00194698,238
4051.01,Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629,1910
4051.01,Berkeley Pl & 7 Ave,40.675147,-73.975232,4
4054.02,Wolcott St & Dwight St,40.6753274,-74.0100698,153
4060.09,Carroll St & 5 Ave,40.675162,-73.981483,2
4060.09,Carroll St & 5 Ave,40.6751622,-73.9814832,1285
4066.15,Bedford Ave & Bergen St,40.676368,-73.952918,1511
4074.03,Classon Ave & St Marks Ave,40.6765198,-73.9596082,1335
4074.03,Classon Ave & St Marks Ave,40.67652,-73.959608,4
4077.04,Smith St & 9 St,40.6746957,-73.99785768,859
4077.04,Smith St & 9 St,40.674696,-73.997858,9
4077.07,Court St & Nelson St,40.6763947,-73.99869893,930
4077.07,Court St & Nelson St,40.676395,-73.998699,6
4086.05,Columbia St & W 9 St,40.6769993,-74.00647134,249
4086.06,Henry St & W 9 St,40.6763744,-74.00324957,184
4095.03,Van Brunt St & Wolcott St,40.6773429,-74.01275056,594
4095.03,Van Brunt St & Wolcott St,40.677343,-74.012751,1
4095.10,Van Brunt St & Van Dyke St,40.6758329439129,-74.01472628116608,440
4095.10,Van Brunt St & Van Dyke St,40.675833,-74.014726,8
4101.17,President St & 4 Ave,40.676757,-73.983262,1129
4107.05,Franklin Ave & St Marks Ave,40.675832,-73.956168,6
4107.05,Franklin Ave & St Marks Ave,40.6758324,-73.9561677,1137
4107.13,Dean St & Franklin Ave,40.677592,-73.955637,3
4107.13,Dean St & Franklin Ave,40.67759206937376,-73.955637216568,1270
4110.10,3 St & Hoyt St,40.6777287,-73.99364123,550
4110.10,3 St & Hoyt St,40.677729,-73.993641,4
4116.08,Prospect Pl & Underhill Ave,40.676969,-73.96579,1
4116.08,Prospect Pl & Underhill Ave,40.6769694,-73.96579,972
4119.04,Clinton St & 4 Place,40.678356,-74.000145,2
4119.04,Clinton St & 4 Place,40.6783563,-74.00014502,746
4124.04,Verona Pl & Fulton St,40.680356,-73.947679,1
4124.04,Verona Pl & Fulton St,40.6803560840434,-73.9476791024208,684
4125.07,7 Ave & Park Pl,40.6776147,-73.97324283,2277
4125.07,7 Ave & Park Pl,40.677615,-73.973243,7
4128.08,Pioneer St & Richards St,40.6777748,-74.0094613,93
4134.06,Berkeley Pl & 6 Ave,40.67653,-73.978469,3
4134.06,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,857
4137.10,Coffey St & Conover St,40.677236,-74.015665,228
4137.14,Coffey St & Ferris St,40.67818387977647,-74.0170168876648,203
4137.14,Coffey St & Ferris St,40.678184,-74.017017,8
4143.03,Union St & Nevins St,40.67909799721684,-73.98765474557877,577
4143.03,Union St & Nevins St,40.679098,-73.987655,10
4143.04,3 Ave & Carroll St,40.677027,-73.9865,491
4148.07,Pacific St & Classon Ave,40.679194,-73.95879,2
4148.07,Pacific St & Classon Ave,40.6791944,-73.9587903,483
4151.01,Smith St & 3 St,40.6787242,-73.99599099,800
4157.10,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,1059
4157.10,Bergen St & Vanderbilt Ave,40.679439,-73.968044,2
4157.15,Prospect Pl & Vanderbilt Ave,40.677675,-73.969021,13
4157.15,Prospect Pl & Vanderbilt Ave,40.67767534269111,-73.96902143955231,1561
4161.01,Van Sinderen Ave & Truxton St,40.6786,-73.90369,249
4166.08,Prospect Pl & 6 Ave,40.6793307,-73.97519523,1025
4166.08,Prospect Pl & 6 Ave,40.679331,-73.975195,2
4169.04,Pioneer St & Van Brunt St,40.679043,-74.011169,355
4175.14,Douglass St & 4 Ave,40.6792788,-73.98154004,1176
4175.14,Douglass St & 4 Ave,40.679279,-73.98154,4
4175.15,Union St & 4 Ave,40.677274,-73.98282,1
4175.15,Union St & 4 Ave,40.6772744,-73.98282002,1131
4184.07,Carroll St & Bond St,40.6786115,-73.99037292,806
4190.06,Grand Ave & Bergen St,40.678045,-73.962408,1151
4193.14,1 Pl & Clinton St,40.6809591,-73.99905709,712
4199.12,Carlton Ave & Dean St,40.680974,-73.97101,5
4199.12,Carlton Ave & Dean St,40.6809741,-73.9710097,1579
4202.04,Richards St & Delavan St,40.6794327,-74.00785041,169
4203.04,Somers St & Broadway,40.67945,-73.90474,33
4205.06,Kingston Ave & Herkimer St,40.67890679,-73.94142771,957
4205.06,Kingston Ave & Herkimer St,40.678907,-73.941428,10
4208.01,Sterling Pl & 5 Ave,40.678970070475735,-73.97855266928671,115
4208.11,Baltic St & 5 Ave,40.6795766,-73.97854971,578
4208.11,Baltic St & 5 Ave,40.679577,-73.97855,3
4214.03,Macon St & Nostrand Ave,40.680983,-73.950048,3
4214.03,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,1269
4217.02,Douglass St & 3 Ave,40.680213,-73.984327,3
4217.02,Douglass St & 3 Ave,40.6802133,-73.98432695,1275
4222.02,Lefferts Pl & Franklin Ave,40.680342,-73.955769,4
4222.02,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,911
4225.14,Carroll St & Smith St,40.680611,-73.99475825,1744
4225.14,Carroll St & Smith St,40.680611,-73.994758,7
4228.02,Fulton St & Utica Ave,40.6794268,-73.9298911,836
4228.02,Fulton St & Utica Ave,40.679427,-73.929891,2
4231.04,Underhill Ave & Pacific St,40.6804836,-73.9646795,983
4237.01,Lewis Ave & Decatur St,40.6814598,-73.934903,572
4237.01,Lewis Ave & Decatur St,40.68146,-73.934903,4
4237.02,Albany Ave & Fulton St,40.6800105,-73.938475,425
4243.01,Commerce St & Van Brunt St,40.6812117,-74.00860912,344
4243.01,Commerce St & Van Brunt St,40.681212,-74.008609,1
4244.06,Broadway & Furman Ave,40.68139,-73.90756,114
4249.10,St Marks Pl & 4 Ave,40.681778,-73.97989,3
4249.10,St Marks Pl & 4 Ave,40.68177810928762,-73.97988975048065,724
4255.05,Hancock St & Bedford Ave,40.68216564,-73.95399026,958
4255.05,Hancock St & Bedford Ave,40.682166,-73.95399,6
4258.07,Degraw St & Hoyt St,40.68199,-73.99079,5
4258.07,Degraw St & Hoyt St,40.68199044270703,-73.99079024791718,867
4263.12,Fulton St & Irving Pl,40.68186,-73.959432,990
4266.03,Clinton St & Union St,40.683116,-73.997853,1
4266.03,Clinton St & Union St,40.6831164,-73.99785267,1044
4278.03,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,688
4281.08,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,1359
4281.08,Bergen St & Flatbush Ave,40.680945,-73.975673,8
4285.09,Rockaway Ave & Bainbridge St,40.68319988172761,-73.91166642308235,394
4290.08,Wyckoff St & Nevins St,40.683426,-73.984275,603
4298.05,Degraw St & Smith St,40.6829151,-73.99318208,1018
4307.13,President St & Henry St,40.6828,-73.999904,8
4307.13,President St & Henry St,40.6828003,-73.99990419,759
4317.05,Bushwick Ave & Furman Ave,40.68281,-73.90623,135
4319.07,Halsey St & Tompkins Ave,40.6823687,-73.944118,924
4319.07,Halsey St & Tompkins Ave,40.682369,-73.944118,5
4322.06,Bergen St & 4 Ave,40.682564,-73.979898,9
4322.06,Bergen St & 4 Ave,40.68256425759694,-73.9798977971077,1266
4327.09,Putnam Ave & Nostrand Ave,40.68402,-73.94977,419
4330.09,Hoyt St & Warren St,40.6843549,-73.98901629,240
4336.01,Monroe St & Classon Ave,40.6845683,-73.95881081,604
4339.01,Butler St & Court St,40.684989,-73.994403,2
4339.01,Butler St & Court St,40.6849894,-73.99440329,710
4345.11,Fulton St & Waverly Ave,40.68323865460341,-73.96599590778351,1493
4345.11,Fulton St & Waverly Ave,40.683239,-73.965996,4
4348.07,Carroll St & Columbia St,40.6830456,-74.00348559,846
4348.07,Carroll St & Columbia St,40.683046,-74.003486,9
4354.05,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,1178
4354.07,Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,21
4354.07,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,2093
